GISJOIN,YEAR,STUSAB,STATE,GEO_ID,TL_GEO_ID,NAME_E,AQNFE001,AQNGE001,AQNGE002,AQNGE003,AQNGE004,AQNGE005,AQNGE006,AQNGE007,AQNGE008,AQNGE009,AQNGE010,AQPKE001,AQPKE002,AQPKE003,AQPKE004,AQPKE005,AQPKE006,AQPKE007,AQPKE008,AQPKE009,AQPKE010,AQPKE011,AQPKE012,AQPKE013,AQPKE014,AQPKE015,AQPKE016,AQPKE017,AQPKE018,AQPKE019,AQPKE020,AQPKE021,AQPKE022,AQPKE023,AQPKE024,AQPKE025,AQPZE001,AQPZE002,AQPZE003,AQPZE004,AQPZE005,AQPZE006,AQPZE007,AQPZE008,AQP6E001,AQRAE001,NAME_M,AQNFM001,AQNGM001,AQNGM002,AQNGM003,AQNGM004,AQNGM005,AQNGM006,AQNGM007,AQNGM008,AQNGM009,AQNGM010,AQPKM001,AQPKM002,AQPKM003,AQPKM004,AQPKM005,AQPKM006,AQPKM007,AQPKM008,AQPKM009,AQPKM010,AQPKM011,AQPKM012,AQPKM013,AQPKM014,AQPKM015,AQPKM016,AQPKM017,AQPKM018,AQPKM019,AQPKM020,AQPKM021,AQPKM022,AQPKM023,AQPKM024,AQPKM025,AQPZM001,AQPZM002,AQPZM003,AQPZM004,AQPZM005,AQPZM006,AQPZM007,AQPZM008,AQP6M001,AQRAM001
G410,2018-2022,OR,Oregon,0400000US41,41,Oregon,4229374,4229374,3328095,79593,46880,187852,17139,180534,389281,168170,221111,2999096,37458,843,884,1004,2851,5271,3091,5419,19840,5370,18014,25842,34175,40594,52646,542883,131179,242573,492010,272990,654185,283031,72199,54744,4149034,230483,263675,159051,171293,236823,104576,2983133,76632,41805,Oregon,,,6793,2067,1937,2598,765,5431,5715,5243,4701,909,1882,285,267,342,652,811,486,765,1566,753,1221,1745,1436,1751,1762,6939,3131,3282,6108,4130,6631,5087,1990,2005,1646,5323,7704,5500,6589,7116,4640,14760,539,256
G420,2018-2022,PA,Pennsylvania,0400000US42,42,Pennsylvania,12989208,12989208,10010379,1407814,20570,473192,4256,405422,667575,303356,364219,9128083,100550,2237,1381,2755,3027,7242,6465,10559,22127,18510,91254,86776,126164,145554,136593,2710001,348743,500374,921061,805392,1844355,884422,199768,152773,12582125,693455,788984,438606,467629,686395,305503,9201553,73170,41234,Pennsylvania,,,9523,7119,2081,3029,684,8833,9984,7154,7196,936,2774,380,274,562,510,1083,793,951,1508,1390,2823,2734,3004,3529,2719,13686,4586,6040,8192,6633,10803,8196,3684,3261,1889,11533,13014,7860,10092,11785,7401,26967,347,183
G440,2018-2022,RI,Rhode Island,0400000US44,44,Rhode Island,1094250,1094250,816308,67615,4072,37881,761,75669,91944,56475,35469,771284,14016,153,129,724,874,1481,2728,1790,4246,1931,8805,10640,10911,10947,12560,173104,34107,47993,90907,63413,165487,80811,19272,14255,1051789,54869,63164,34307,35406,50370,21587,792086,81370,43324,Rhode Island,,,3655,2153,889,958,336,3506,4123,3544,2165,466,1125,102,83,312,292,381,528,477,700,302,965,1042,913,1170,1021,3942,1695,1689,2706,2080,3152,2060,1088,1086,589,3106,3689,2985,2252,3452,2350,6381,1213,529
G450,2018-2022,SC,South Carolina,0400000US45,45,South Carolina,5142750,5142750,3342861,1326209,15617,85834,2722,123269,246238,103873,142365,3553321,40013,998,435,1006,1269,3879,3160,5852,17101,14340,28543,49323,73886,74283,65115,853211,158344,224914,491261,357618,674340,305597,62767,46066,5002332,334687,383162,224398,227335,327421,148830,3356499,63623,36072,South Carolina,,,4772,4885,1540,1646,439,4687,7014,4374,5230,985,1924,302,145,245,308,555,512,731,1206,1231,1379,2354,2923,2780,2202,8385,3781,4594,6201,4676,7588,5911,2411,2108,1479,7193,10250,7086,7996,8007,5450,17045,486,266
G460,2018-2022,SD,South Dakota,0400000US46,46,South Dakota,890342,890342,731624,19525,70948,12754,494,10567,44430,13890,30540,588987,5441,87,109,225,185,292,194,199,1185,931,7666,4276,6898,8077,7297,148100,27962,36567,82433,72002,123313,38604,10123,6821,860878,49648,55894,34581,32007,50498,22104,616146,69457,36850,South Dakota,,,1533,828,1105,654,283,1144,2032,1176,1581,751,870,59,83,149,103,149,89,102,226,225,631,414,658,656,639,2178,1232,1189,2090,1665,2710,1682,699,584,590,2398,2767,2212,2071,2663,1616,4640,788,445
G470,2018-2022,TN,Tennessee,0400000US47,47,Tennessee,6923772,6923772,5182736,1126815,14118,128630,4684,139938,326851,140517,186334,4758712,54747,845,771,1550,1982,6278,5073,7659,24483,18050,63485,63384,85025,94234,82585,1232458,265941,312930,656376,367186,889401,368384,89488,66397,6759549,427080,516503,303780,313180,441850,200309,4556847,64035,36040,Tennessee,,,5717,4094,1380,1660,835,3752,6605,5523,4526,1512,2123,230,192,343,458,800,695,808,1440,1126,2300,2282,2840,2445,2484,9914,4460,5220,7526,5016,8279,5911,2594,1891,2334,8495,10911,8615,8101,10428,6356,21479,350,208
G480,2018-2022,TX,Texas,0400000US48,48,Texas,29243342,29243342,17293460,3552579,169576,1511069,27350,2281525,4407783,3547610,860173,18910948,462389,5656,6688,19733,41591,84895,54952,85583,353018,95460,209581,384147,294105,325400,369136,3792935,833194,1221713,2733655,1435330,3919003,1598654,341512,242618,28615931,1810019,2180307,1286668,1342163,1814985,785662,19396127,73035,37514,Texas,,,31713,10470,6411,5316,1672,24856,31111,30815,13507,2707,8450,722,973,1461,2196,3353,2660,3129,7013,2803,4756,7224,5926,6914,6689,23837,10042,14997,18200,10228,20609,17952,6559,5133,3764,24058,28783,23941,25658,27389,14808,56145,227,130
G490,2018-2022,UT,Utah,0400000US49,49,Utah,3283809,3283809,2705194,37712,32948,77761,30748,174721,224725,114101,110624,1959919,21356,301,365,340,844,1915,1421,2404,10183,3296,6584,12977,13782,22168,34527,383506,58867,154836,327177,194933,468541,173551,36570,29475,3231630,126673,148515,101982,120288,187593,88030,2458549,86833,37023,Utah,,,5332,1541,1484,1697,1239,5642,5532,4711,3424,689,1443,144,172,118,232,321,350,505,861,467,730,870,1066,1101,1265,5052,1995,3086,3878,3271,5103,3307,1576,1590,1188,5267,5806,4491,5343,7208,4634,12551,674,249
G500,2018-2022,VT,Vermont,0400000US50,50,Vermont,643816,643816,594131,8000,1336,10824,148,3568,25809,9039,16770,459033,2750,137,84,26,48,91,45,157,596,469,3736,3227,4629,5635,4957,112763,13934,24038,50837,39344,111614,57539,12438,9939,620877,29384,35355,21961,20867,30545,16996,465769,74014,41680,Vermont,,,752,526,228,689,75,423,1158,720,925,348,387,82,74,25,32,62,32,93,198,178,433,389,453,629,431,1850,721,990,1644,1296,2198,1308,803,744,246,1817,1766,1600,1447,1847,1522,4105,1049,571
G510,2018-2022,VA,Virginia,0400000US51,51,Virginia,8624511,8624511,5473610,1630355,23728,591088,6185,303247,596298,252261,344037,5919142,79107,1087,1002,1924,3635,8171,6751,10409,31134,24787,44547,59185,82181,86071,85826,1184055,227829,361900,732853,461866,1366160,780607,158770,119285,8379773,409343,427343,255684,274461,410241,185147,6417554,87249,47210,Virginia,,,7967,5432,1752,3007,567,7735,8425,7012,6077,1581,2640,259,237,449,705,795,692,866,1717,1367,1862,2126,2277,2308,2436,10497,3462,5345,8478,5478,9904,8577,3886,2954,2104,9694,8934,7512,6560,9100,5980,21397,428,250
G530,2018-2022,WA,Washington,0400000US53,53,Washington,7688549,7688549,5374874,301477,91698,708647,53003,399571,759279,292781,466498,5347314,75599,708,1226,2852,5617,9277,5696,8607,34182,9726,29842,44300,47205,61114,87698,957379,207751,399854,788146,541092,1244437,569699,123220,92087,7553642,366565,380973,228261,244861,357384,161031,5814567,90325,48685,Washington,,,8095,3801,3290,3867,1443,9278,9353,7681,6708,683,2707,263,303,577,710,861,673,844,1903,1030,1672,2282,1951,2267,2352,9016,4236,5576,8201,6293,9078,6621,2844,2497,2065,7777,8635,8021,6637,8420,6318,16719,433,231
G540,2018-2022,WV,West Virginia,0400000US54,54,West Virginia,1792967,1792967,1639342,61227,1730,13602,657,9504,66905,22651,44254,1271529,11571,241,109,217,227,887,918,1492,5034,6022,19396,23530,31288,29380,16689,421521,80812,79351,152578,101487,171758,84486,18450,14085,1736883,131925,159935,87289,88217,118595,51570,1099352,55217,31462,West Virginia,,,1939,1452,274,574,292,1090,2263,1760,1556,1024,960,179,80,152,111,284,234,310,604,541,1039,1337,1746,1367,1003,4543,2261,2249,3313,2357,3178,2666,1246,863,1105,3738,5715,3834,4184,4790,2902,7896,577,341
G550,2018-2022,WI,Wisconsin,0400000US55,55,Wisconsin,5882128,5882128,4854979,363331,43759,169052,2261,128690,320056,155464,164592,4047831,38573,619,638,653,949,2545,2391,2936,12887,4054,31530,25042,38842,54636,63110,1071376,139878,269276,540579,451044,852632,319419,70555,53667,5743164,280439,331222,190606,200256,310612,154435,4275594,72458,40130,Wisconsin,,,4716,2714,1298,1920,398,4012,5600,4592,4142,839,1554,176,205,250,236,407,425,400,1083,497,1305,1277,1243,1667,1828,8722,2552,3600,5486,4167,7973,4196,1917,1843,1235,5846,6242,4607,4759,5758,4010,11980,372,248
G560,2018-2022,WY,Wyoming,0400000US56,56,Wyoming,577929,577929,504798,4891,12359,4717,636,16504,34024,17046,16978,391802,2890,28,15,39,101,338,106,74,1093,661,1971,2337,3960,4845,5261,88797,21480,32888,65255,46082,71313,31053,6077,5138,564105,27092,33042,18868,21550,32486,14382,416685,72495,39547,Wyoming,,,1856,489,577,409,238,1452,1715,1402,1061,686,448,36,24,36,78,156,80,74,293,224,326,368,472,531,652,2172,1148,1422,2085,1600,2249,1499,605,536,349,1789,2147,1833,1921,2056,1790,4156,1201,743
G720,2018-2022,PR,Puerto Rico,0400000US72,72,Puerto Rico,3272382,3272382,1425431,286388,5066,6295,279,786315,762608,600716,161892,2400393,51914,643,528,10042,14162,28144,33986,27000,62611,39051,50313,78610,31756,44943,19235,617845,54436,34261,251030,271432,482139,134673,30748,30891,3242916,709913,658447,289797,256815,290715,102427,934802,24002,15637,Puerto Rico,,,10705,5775,950,955,280,9556,10236,9690,3935,555,2244,189,184,850,1145,1348,1566,1430,2053,1693,2011,1961,1406,1562,1159,6604,2221,1569,4624,4920,5908,3191,1374,1538,568,10426,9893,6490,7151,7280,4771,11025,222,157
